:ID,:LABEL,prefLabel,definition,note,inScheme
http://example.org/tic-absa/scheme/courseBase,ConceptScheme,Course Base,,,
http://example.org/tic-absa/scheme/courseEdition,ConceptScheme,Course Edition,,,
http://example.org/tic-absa/scheme/thread,ConceptScheme,Thread,,,
http://example.org/tic-absa/scheme/comment,ConceptScheme,Comment,,,
http://example.org/tic-absa/scheme/aspect,ConceptScheme,Aspectos,,,
http://example.org/tic-absa/scheme/polarity,ConceptScheme,Polaridad,,,
http://example.org/tic-absa/courseBase/HG,Concept;CourseBase,HG,,,http://example.org/tic-absa/scheme/courseBase
http://example.org/tic-absa/courseBase/EVOLFUND,Concept;CourseBase,EVOLFUND,,,http://example.org/tic-absa/scheme/courseBase
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG%2B2016,Concept;CourseEdition,course-v1:UTPL+HG+2016,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed2%2B2017_ENE,Concept;CourseEdition,course-v1:UTPL+HG-Ed2+2017_ENE,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed3%2B2017-FEB,Concept;CourseEdition,course-v1:UTPL+HG-Ed3+2017-FEB,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed4%2BABR_2017,Concept;CourseEdition,course-v1:UTPL+HG-Ed4+ABR_2017,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed5%2B2017_JUN,Concept;CourseEdition,course-v1:UTPL+HG-Ed5+2017_JUN,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed6%2B2017_OCT,Concept;CourseEdition,course-v1:UTPL+HG-Ed6+2017_OCT,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed7%2B2017_DIC,Concept;CourseEdition,course-v1:UTPL+HG-Ed7+2017_DIC,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed8%2B2018_1,Concept;CourseEdition,course-v1:UTPL+HG-Ed8+2018_1,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG9%2B2018_2,Concept;CourseEdition,course-v1:UTPL+HG9+2018_2,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG10%2B2018_3,Concept;CourseEdition,course-v1:UTPL+HG10+2018_3,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG11%2B2019_1,Concept;CourseEdition,course-v1:UTPL+HG11+2019_1,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG12%2B2019_2,Concept;CourseEdition,course-v1:UTPL+HG12+2019_2,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG13%2B2020_1,Concept;CourseEdition,course-v1:UTPL+HG13+2020_1,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG14%2B2020_2,Concept;CourseEdition,course-v1:UTPL+HG14+2020_2,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG15%2B2021_1,Concept;CourseEdition,course-v1:UTPL+HG15+2021_1,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG16%2B2021_2,Concept;CourseEdition,course-v1:UTPL+HG16+2021_2,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG17%2B2022_1,Concept;CourseEdition,course-v1:UTPL+HG17+2022_1,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG18%2B2022_2,Concept;CourseEdition,course-v1:UTPL+HG18+2022_2,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG19%2B2023_1,Concept;CourseEdition,course-v1:UTPL+HG19+2023_1,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG20%2B2023_2,Concept;CourseEdition,course-v1:UTPL+HG20+2023_2,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG21%2B2024_1,Concept;CourseEdition,course-v1:UTPL+HG21+2024_1,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG22%2B2024_2,Concept;CourseEdition,course-v1:UTPL+HG22+2024_2,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG23%2B2025_1,Concept;CourseEdition,course-v1:UTPL+HG23+2025_1,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND%2B2018_1,Concept;CourseEdition,course-v1:UTPL+EVOLFUND+2018_1,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND2%2B2018_2,Concept;CourseEdition,course-v1:UTPL+EVOLFUND2+2018_2,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND3%2B2018_3,Concept;CourseEdition,course-v1:UTPL+EVOLFUND3+2018_3,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND4%2B2019_1,Concept;CourseEdition,course-v1:UTPL+EVOLFUND4+2019_1,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND5%2B2020_1,Concept;CourseEdition,course-v1:UTPL+EVOLFUND5+2020_1,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND6%2B2020_2,Concept;CourseEdition,course-v1:UTPL+EVOLFUND6+2020_2,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND7%2B2021_1,Concept;CourseEdition,course-v1:UTPL+EVOLFUND7+2021_1,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND6%2B2021_2,Concept;CourseEdition,course-v1:UTPL+EVOLFUND6+2021_2,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND7%2B2022_1,Concept;CourseEdition,course-v1:UTPL+EVOLFUND7+2022_1,,,http://example.org/tic-absa/scheme/courseEdition
http://example.org/tic-absa/thread/583d33daec4a896c9b0005b3,Concept;Thread,"autoconsumo, comercialización ",,,http://example.org/tic-absa/scheme/thread
http://example.org/tic-absa/thread/583cf5b0ec4a89c761000548,Concept;Thread,FORO 01,,,http://example.org/tic-absa/scheme/thread
